image_id,product_id,image_url
1,1,https://ik.imagekit.io/stringstacksai/Wedding_Hampers/bridal_hamper.jfif?updatedAt=1785149567998
2,2,https://ik.imagekit.io/stringstacksai/Wedding_Hampers/Sahbandh.avif?updatedAt=1785149568918
3,3,https://ik.imagekit.io/stringstacksai/Wedding_Hampers/white-rose-n-eustoma-luxe-bento-cake-box.webp?updatedAt=1785149568892
4,4,https://ik.imagekit.io/stringstacksai/Wedding_Hampers/refined-flavours-wedding-hamper_.webp?updatedAt=1785149568859
5,5,https://ik.imagekit.io/stringstacksai/Wedding_Hampers/wings-of-an-angel-assortment.webp?updatedAt=1785149568745
6,6,https://ik.imagekit.io/stringstacksai/Wedding_Hampers/the-regal-fusion-box.webp?updatedAt=1785149568785
7,7,https://ik.imagekit.io/stringstacksai/Wedding_Hampers/royal-bloom-arrangement_.webp?updatedAt=1785149568814
8,8,https://ik.imagekit.io/stringstacksai/Wedding_Hampers/sweet-love-story-hamper.webp?updatedAt=1785149568713
9,9,https://ik.imagekit.io/stringstacksai/Wedding_Hampers/romantic-rose-n-couple-mug-duo.webp?updatedAt=1785149568676
10,10,https://ik.imagekit.io/stringstacksai/Wedding_Hampers/romantic-rose-n-couple-mug-duo.webp?updatedAt=1785149568676
11,11,https://ik.imagekit.io/stringstacksai/Wedding_Hampers/together-forever-table-decor.webp?updatedAt=1785149568614
12,12,https://ik.imagekit.io/stringstacksai/Wedding_Hampers/enchanted-mehndi-balloon-arch.webp?updatedAt=1785149568669
13,13,https://ik.imagekit.io/stringstacksai/Wedding_Hampers/timeless-love-keepsake.webp?updatedAt=1785149568655
14,14,https://ik.imagekit.io/stringstacksai/Wedding_Hampers/romantic-glow-personalized-square-led-acrylic-lamp.webp?updatedAt=1785149568666
15,15,https://ik.imagekit.io/stringstacksai/Wedding_Hampers/nuyug-22k-gold-layered-pearl-necklace.webp?updatedAt=1785149568673
16,16,https://ik.imagekit.io/stringstacksai/Wedding_Hampers/mr-n-mrs-keepsake-mug-set.webp?updatedAt=1785149568414
17,17,https://ik.imagekit.io/stringstacksai/Wedding_Hampers/elephant-key-holder-wall-hanging.webp?updatedAt=1785149568248
18,18,https://ik.imagekit.io/stringstacksai/Wedding_Hampers/dressed-in-love-truffle-eggless-cake.webp?updatedAt=1785149568174
19,19,https://ik.imagekit.io/stringstacksai/Wedding_Hampers/love-in-every-frame.webp?updatedAt=1785149568059
20,20,https://ik.imagekit.io/stringstacksai/Wedding_Hampers/charming-moments-hamper.webp?updatedAt=1785149568078
21,21,https://ik.imagekit.io/stringstacksai/Wedding_Hampers/an-ode-to-red-roses.webp?updatedAt=1785149568117
22,22,https://ik.imagekit.io/stringstacksai/Wedding_Hampers/butterscotch-bliss-cream-eggless-cake.webp?updatedAt=1785149567990
23,23,https://ik.imagekit.io/stringstacksai/Wedding_Hampers/bride-to-be-celebration-cake-2-kg.webp?updatedAt=1785149567959
